n,d,w,M_normal,M_fast,time_normal,time_fast
2,2,1,2,2,,1.0726
4,2,2,6,6,0.0078,0.9811
4,4,2,2,2,0.004,1.0835
6,2,3,20,20,0.1542,1.0155
6,4,3,3,3,0.0291,0.9688
6,6,3,2,2,0.0191,1.1459
8,2,4,70,70,2.4298,1.4996
8,4,4,6,6,0.176,0.9726
8,6,4,2,2,0.1226,0.9777
8,8,4,2,2,0.1244,1.0925
10,2,5,252,252,39.1318,9.718
10,4,5,13,12,1.6652,1.5708
10,6,5,3,3,0.6448,1.2673
10,8,5,2,2,0.578,1.1863
10,10,5,2,1,0.5807,1.2255
12,2,6,,924,,152.1992
12,4,6,26,27,7.3357,2.4682
12,6,6,6,5,1.8664,1.409
12,8,6,2,2,1.4599,1.2378
12,10,6,2,2,1.5004,1.2977
12,12,6,2,1,1.4381,1.2528
14,2,7,,3432,,271.882
14,4,7,,64,,4.5315
14,6,7,,9,,1.7828
14,8,7,,3,,1.5289
14,10,7,,2,,1.3832
14,12,7,,1,,1.4109
14,14,7,,1,,1.4028
